1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,image,name,color,team_name
,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,33.0,44.0,31.0,40.0,31.0,48.0,47.0,40.0,30.0,45.0,38.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City Kings
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,32.0,12.0,17.0,30.0,31.0,45.0,41.0,27.0,17.0,29.0,36.0,17.0,9.0,15.0,31.0,39.0,27.0,28.0,37.0,47.0,40.0,23.0,19.0,29.0,32.0,40.0,56.0,57.0,56.0,53.0,51.0,48.0,49.0,47.0,42.0,35.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/LAC.png,Los Angeles Clippers,#87CE00,Los Angeles Clippers
,,,,,,,,,,,,,,36.0,54.0,53.0,42.0,49.0,45.0,36.0,52.0,55.0,46.0,48.0,69.0,60.0,47.0,30.0,40.0,53.0,45.0,47.0,60.0,54.0,57.0,58.0,54.0,62.0,62.0,65.0,62.0,63.0,58.0,43.0,39.0,33.0,48.0,53.0,56.0,61.0,31.0,67.0,56.0,58.0,50.0,56.0,34.0,45.0,42.0,57.0,65.0,57.0,57.0,41.0,45.0,27.0,21.0,17.0,26.0,37.0,52.0,42.0,33.0,33.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/LAL.png,Los Angeles Lakers,#5555FF,Los Angeles Lakers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,28.0,50.0,45.0,49.0,22.0,22.0,24.0,40.0,46.0,41.0,56.0,50.0,55.0,42.0,43.0,33.0,34.0,38.0,56.0,40.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/MEM.png,Memphis Grizzlies,#32CD32,Memphis Grizzlies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,24.0,38.0,36.0,42.0,32.0,42.0,61.0,55.0,33.0,52.0,50.0,36.0,25.0,42.0,59.0,52.0,44.0,15.0,43.0,47.0,58.0,46.0,66.0,54.0,37.0,48.0,41.0,39.0,44.0,40.0,53.0,36.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/MIA.png,Miami Heat,#0074BD,Miami Heat
,,,,,17.0,27.0,20.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee Hawks
,,,,,,,,,,,,,,,,,,,,,,27.0,56.0,66.0,63.0,60.0,59.0,38.0,38.0,30.0,44.0,38.0,49.0,60.0,55.0,51.0,50.0,59.0,57.0,50.0,42.0,44.0,48.0,31.0,28.0,20.0,34.0,25.0,33.0,36.0,28.0,42.0,52.0,41.0,42.0,41.0,30.0,40.0,28.0,26.0,34.0,46.0,35.0,31.0,38.0,15.0,41.0,33.0,42.0,60.0,56.0,46.0,51.0,47.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/MIL.png,Milwaukee Bucks,#0047AB,Milwaukee Bucks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,29.0,15.0,19.0,20.0,21.0,26.0,40.0,45.0,25.0,50.0,47.0,50.0,51.0,58.0,44.0,33.0,32.0,22.0,24.0,15.0,17.0,26.0,31.0,40.0,16.0,29.0,31.0,36.0,19.0,23.0,46.0,34.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/MIN.png,Minnesota Timberwolves,#2980BE,Minnesota Timberwolves
,,44.0,52.0,44.0,40.0,48.0,46.0,40.0,34.0,34.0,19.0,33.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis Lakers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,37.0,34.0,24.0,44.0,49.0,45.0,42.0,39.0,24.0,19.0,17.0,26.0,40.0,43.0,45.0,30.0,30.0,26.0,43.0,16.0,31.0,26.0,52.0,49.0,47.0,42.0,49.0,41.0,34.0,34.0,12.0,24.0,22.0,,,,,,,,,,,,,,New Jersey Nets
